"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000011243",0.032240395513695,7.41673991623494,0.0577897751725611,0.812196457375649,1,"AKAP8L"
"ENSG00000011258",-0.0486782184235345,6.32038903735823,0.21356212781133,0.704411721932025,1,"MBTD1"
"ENSG00000011260",0.106466207876009,5.32576104845288,0.385004335427814,0.600249542146942,1,"UTP18"
"ENSG00000011275",0.0396563534814573,7.30211843723529,0.331782227636913,0.66595653579209,1,"RNF216"
"ENSG00000011295",0.00268293805376118,5.71836510023515,0.000839920496203884,0.985720438105897,1,"TTC19"
"ENSG00000011304",-0.00933743169192202,8.09991726676009,0.0212901352076511,0.896317813656302,1,"PTBP1"
"ENSG00000011376",0.116420945741822,5.2758045375838,0.884177814270483,0.53828482222623,1,"LARS2"
"ENSG00000011405",-0.040899762552395,6.89051581816398,0.0806492121352125,0.779011314106979,1,"PIK3C2A"
"ENSG00000011422",0.0981143029863267,6.5054168048076,0.595361112087717,0.451251926080965,1,"PLAUR"
"ENSG00000011451",0.100554417003064,6.18372303756316,0.77689013732044,0.496267933063091,1,"WIZ"
"ENSG00000011454",-0.00570322561629091,6.45394248243902,0.00639761460161965,0.96412340721112,1,"RABGAP1"
"ENSG00000011478",0.102967308715214,3.86003007365967,0.284271639530507,0.723179516865291,1,"QPCTL"
"ENSG00000011485",0.0694318134876096,5.41003677321588,0.433073056923521,0.715482820613921,1,"PPP5C"
"ENSG00000011523",-0.00772100610987283,6.11523724960019,0.00899813916329107,0.956364333318247,1,"CEP68"
"ENSG00000011566",-0.0206224382951025,4.97517933181053,0.0266649419362107,0.920376737667128,1,"MAP4K3"
"ENSG00000011600",-0.101735949481958,6.84991462316017,0.478588992057086,0.496125372133838,1,"TYROBP"
"ENSG00000012048",0.0865067304227054,3.96034195374095,0.106457217843974,0.827010322591525,1,"BRCA1"
"ENSG00000012061",-0.0348210428401303,5.2092828897283,0.0705485574736958,0.877050657960509,1,"ERCC1"
"ENSG00000012124",0.0377028394637106,5.2360315720595,0.0486151621136366,0.840206695641829,1,"CD22"
"ENSG00000012174",0.135282500570649,4.22890855685364,0.422634667160824,0.657327541283167,1,"MBTPS2"
"ENSG00000012211",-0.109389753309987,3.85667703431332,0.316894447579147,0.764933973802111,1,"PRICKLE3"
"ENSG00000012232",0.203735031422537,6.21892671374722,2.98467065124914,0.184492243061497,1,"EXTL3"
"ENSG00000012660",0.0534103607437888,6.90070432211218,0.132374840627958,0.719372014510524,1,"ELOVL5"
"ENSG00000012779",0.221513791628432,6.59615308665166,1.9036362300378,0.181203197373146,1,"ALOX5"
"ENSG00000012817",0.0412165363749554,7.85805908542388,0.257784775669635,0.61657739612101,1,"KDM5D"
"ENSG00000012822",0.11550703013174,7.63583218515942,1.66279010660018,0.210299330818454,1,"CALCOCO1"
"ENSG00000012963",0.138224756700647,5.15999526323832,1.97001162373042,0.47785771760933,1,"UBR7"
"ENSG00000012983",-0.0450149872100475,6.03307491626839,0.104842157717533,0.755794557487279,1,"MAP4K5"
"ENSG00000013016",0.0363133549400403,4.16016088582387,0.0446704253598424,0.897459583966277,1,"EHD3"
"ENSG00000013275",0.103028562741245,5.80600797684457,1.08712242297657,0.520646075896958,1,"PSMC4"
"ENSG00000013288",0.0828963848861647,7.04428001535946,0.986579182927366,0.439618245026932,1,"MAN2B2"
"ENSG00000013306",0.0784383910113496,5.77079688294225,0.216517477308431,0.64616963043264,1,"SLC25A39"
"ENSG00000013364",-0.00198153420490945,7.35757414766409,0.000115419982542799,0.991522697281215,1,"MVP"
"ENSG00000013374",0.0848777618118768,6.7755063250687,1.35628192795837,0.460140075222328,1,"NUB1"
"ENSG00000013375",-0.06494761189769,5.29607817512347,0.206437663269654,0.743635250338544,1,"PGM3"
"ENSG00000013441",-0.120717443686273,8.45382895423192,1.02982450399765,0.320967288690016,1,"CLK1"
"ENSG00000013503",0.0348826849812048,4.17334904458247,0.0586406073683009,0.895510230560148,1,"POLR3B"
"ENSG00000013523",0.0560682184231414,5.62188644144001,0.364030635702678,0.75364058972482,1,"ANGEL1"
"ENSG00000013561",-0.0741886202040019,5.38050199984654,0.474620576321614,0.70510664286329,1,"RNF14"
"ENSG00000013563",-0.00329100694602554,4.64404656887426,0.000562114450825119,0.98969934452258,1,"DNASE1L1"
"ENSG00000013573",0.125666996899571,6.48319348299858,0.876190001364393,0.35916634240216,1,"DDX11"
"ENSG00000013583",-0.274503370766272,4.07382064074494,1.11316962231048,0.532817220236809,1,"HEBP1"
"ENSG00000013619",-0.0923733702596475,3.42416529133309,0.2355054402605,0.81114868180914,1,"MAMLD1"
"ENSG00000013725",0.0933956449110836,7.89109354626683,0.637982982039646,0.432776275494035,1,"CD6"
"ENSG00000013810",-0.0220661401624387,6.87722758750608,0.0206874401107923,0.886911577155552,1,"TACC3"
"ENSG00000014123",0.0279072925302364,6.26635597311982,0.0494237303422533,0.836475547685111,1,"UFL1"
"ENSG00000014138",-0.0686558406813256,4.91148210002129,0.247813762242317,0.755263435537208,1,"POLA2"
"ENSG00000014164",0.0570617815595263,5.64689336842691,0.182857724389738,0.731771510458444,1,"ZC3H3"
"ENSG00000014216",0.0893766647139218,6.85050264995178,0.387604356704923,0.539807897048198,1,"CAPN1"
"ENSG00000014257",-0.435410549018672,3.31952040295592,2.16961832625214,0.379242226614422,1,"ACP3"
"ENSG00000014641",-0.0565628867328854,5.8674712100009,0.262678706414502,0.728642984775364,1,"MDH1"
"ENSG00000014824",0.0247735752274907,5.82146377009706,0.0327731722566102,0.875098816770955,1,"SLC30A9"
"ENSG00000014914",-0.30943477984294,2.92689819334618,2.78355765479402,0.324960091802104,1,"MTMR11"
"ENSG00000014919",-0.143893248436094,5.58135481569203,2.56361840545118,0.422230910225612,1,"COX15"
"ENSG00000015133",0.0606120634344991,8.86591940928,0.343767340228657,0.563487401098201,1,"CCDC88C"
"ENSG00000015153",-0.0744055003093601,6.13990810467502,0.829130901495475,0.561109606183517,1,"YAF2"
"ENSG00000015171",-0.0370263013475033,6.52770421904257,0.0732645101549769,0.789104187057096,1,"ZMYND11"
"ENSG00000015285",-0.0941218336546552,6.75868854929217,0.766490564903797,0.424587096617649,1,"WAS"
"ENSG00000015475",0.176605410566883,6.41606139266459,4.37861346657352,0.135626375870131,1,"BID"
"ENSG00000015479",-0.0608719094930833,8.71740907238213,0.494986221000163,0.488914291762972,1,"MATR3"
"ENSG00000015532",-0.00848284795208091,5.11606742973254,0.00298557857587937,0.968853828108769,1,"XYLT2"
"ENSG00000015568",-1.15601795643525,5.5620033781059,2.87352474550109,0.103816628224129,1,"RGPD5"
"ENSG00000015676",0.0461208890309311,6.52011011213396,0.12419984812214,0.727796461061923,1,"NUDCD3"
"ENSG00000016864",-0.0837249407171321,4.87034924470345,0.303270560441386,0.715189560564725,1,"GLT8D1"
"ENSG00000017260",-0.120937999805742,6.8626562769794,2.21526395431556,0.285986739797728,1,"ATP2C1"
"ENSG00000017483",0.127715741835551,3.74519864258849,0.501080315453199,0.728817028661378,1,"SLC38A5"
"ENSG00000017797",-0.0156128431971922,6.57855128826503,0.0217817857953166,0.901961718910888,1,"RALBP1"
"ENSG00000018189",-0.130426662073573,5.59766542772006,1.5035873227255,0.460493808529106,1,"RUFY3"
"ENSG00000018280",0.0658293254562972,7.8385647438085,0.217400926981092,0.645501098025822,1,"SLC11A1"
"ENSG00000018510",-0.18162375055181,6.41169825825618,1.88040227342838,0.18378396853204,1,"AGPS"
