target_id	length	eff_length	est_counts	tpm
	632	533	11.2051	1.27535
	1512	1413	1.40686	0.0604016
	3076	2977	0	0
	431	332	10.4769	1.9144
	1509	1410	24.5331	1.05553
	9311	9212	3432.09	22.6018
	1075	976	564.048	35.0594
	2519	2420	10854.7	272.108
	893	794	1564.43	119.529
	960	861	3.05992	0.215598
	1524	1425	415.74	17.6989
	1586	1487	0	0
	1793	1694	199.113	7.13058
	437	338	3.99075	0.716269
	833	734	0.00498061	0.000411647
	540	441	7.79113	1.07177
	535	436	1.35994	0.189222
	3685	3586	81.3338	1.37594
	3044	2945	0	0
	8704	8605	247.954	1.74807
	3397	3298	2983.34	54.8771
	579	480	5.22831	0.660783
	593	494	0	0
	587	488	1.74091	0.216418
	486	387	0	0
	830	731	0	0
	475	376	41.935	6.76592
	544	445	0	0
	888	789	201.378	15.4836
	7819	7720	159.836	1.25602
	1856	1757	10.6035	0.366113
	1823	1724	6.10917	0.214973
	442	343	2.39	0.42271
	315	216	0	0
	290	191	0.841305	0.267214
	575	476	0	0
	555	456	0	0
	556	457	0	0
	4544	4445	101.809	1.38948
	1085	986	0.325109	0.0200028
	2673	2574	0	0
	4524	4425	12.0045	0.164576
	795	696	0	0
	793	694	3.96261	0.346386
	372	273	0	0
	289	190	0	0
	1591	1492	11.0688	0.45006
	3614	3515	17.639	0.30443
	2849	2750	0	0
	1460	1361	33.1551	1.47785
	1417	1318	66.7245	3.0712
	1476	1377	338.783	14.9254
	1456	1357	4.51213	0.201716
	1177	1078	475.586	26.7639
	517	418	16.9753	2.46365
	2345	2246	252.437	6.8184
	482	383	40.8292	6.46712
	1365	1266	12.1224	0.58089
	483	384	45.6358	7.20963
	9841	9742	24.009	0.149508
	3048	2949	37.4584	0.770571
	2710	2611	100.79	2.3418
	3108	3009	64.4511	1.29941
	1171	1072	0	0
	2694	2595	29.7102	0.694556
	549	450	0.285942	0.0385483
	558	459	7.80135	1.03109
	484	385	4.84423	0.763313
	2829	2730	22.6245	0.502753
	1755	1656	744.208	27.263
	801	702	47.7631	4.12756
	739	640	0	0
	714	615	37.8724	3.73582
	1039	940	0	0
	745	646	38.1561	3.58319
